Time_ms,Amplitude_mV
2345.8767,2.0408
2347.8783,2.0422
2349.8799,2.0412
2351.8815,2.0387
2353.8831,2.0346
2355.8847,2.0299
2357.8863,2.0251
2359.8879,2.0204
2361.8895,2.0157
2363.8911,2.0109
2365.8927,2.0062
2367.8943,2.0015
2369.8959,1.9994
2371.8975,2.0036
2373.8991,2.0141
2375.9007,2.0324
2377.9023,2.0555
2379.9039,2.0817
2381.9055,2.1039
2383.9071,2.1212
2385.9087,2.1281
2387.9103,2.1254
2389.9119,2.1136
2391.9135,2.1014
2393.9151,2.0907
2395.9167,2.0813
2397.9183,2.0718
2399.9199,2.0628
2401.9215,2.0569
2403.9231,2.0542
2405.9247,2.0514
2407.9263,2.0438
2409.9279,2.0316
2411.9295,2.0191
2413.9311,2.0081
2415.9327,2.0010
2417.9343,1.9987
2419.9359,2.0011
2421.9376,2.0074
2423.9392,2.0152
2425.9408,2.0207
2427.9424,2.0167
2429.9440,2.0033
2431.9456,1.9899
2433.9472,1.9828
2435.9488,1.9824
2437.9504,1.9845
2439.9520,1.9882
2441.9536,1.9990
2443.9552,2.0178
2445.9568,2.0467
2447.9584,2.0872
2449.9600,2.1376
2451.9616,2.1998
2453.9632,2.2682
2455.9648,2.3417
2457.9664,2.4099
2459.9680,2.4710
2461.9696,2.5315
2463.9712,2.6015
2465.9728,2.6801
2467.9744,2.7449
2469.9760,2.7920
2471.9776,2.8081
2473.9792,2.7960
2475.9808,2.7556
2477.9824,2.6917
2479.9840,2.6180
2481.9856,2.4833
2483.9872,2.2236
2485.9888,1.8392
2487.9904,1.4900
2489.9920,1.2668
2491.9936,1.1713
2493.9952,1.0991
2495.9968,1.0333
2497.9984,0.9877
2500.0000,0.9578
