Time_ms,I_mV
1333.0665,0.9819
1335.0681,0.9819
1337.0697,0.9819
1339.0713,0.9819
1341.0729,0.9809
1343.0745,0.9782
1345.0761,0.9740
1347.0777,0.9693
1349.0793,0.9645
1351.0809,0.9607
1353.0825,0.9585
1355.0841,0.9578
1357.0857,0.9578
1359.0873,0.9578
1361.0889,0.9578
1363.0905,0.9578
1365.0921,0.9578
1367.0937,0.9563
1369.0953,0.9533
1371.0969,0.9486
1373.0985,0.9439
1375.1001,0.9392
1377.1017,0.9358
1379.1033,0.9340
1381.1049,0.9337
1383.1065,0.9337
1385.1081,0.9337
1387.1097,0.9337
1389.1113,0.9337
1391.1129,0.9337
1393.1145,0.9337
1395.1161,0.9337
1397.1177,0.9337
1399.1193,0.9337
1401.1209,0.9337
1403.1225,0.9337
1405.1241,0.9337
1407.1257,0.9337
1409.1273,0.9337
1411.1289,0.9337
1413.1305,0.9337
1415.1321,0.9337
1417.1337,0.9337
1419.1353,0.9337
1421.1369,0.9337
1423.1385,0.9352
1425.1401,0.9383
1427.1417,0.9417
1429.1433,0.9420
1431.1449,0.9392
1433.1465,0.9344
1435.1481,0.9297
1437.1497,0.9264
1439.1513,0.9279
1441.1529,0.9340
1443.1545,0.9435
1445.1561,0.9530
1447.1577,0.9621
1449.1593,0.9696
1451.1609,0.9756
1453.1625,0.9793
1455.1641,0.9814
1457.1657,0.9819
1459.1673,0.9819
1461.1689,0.9819
1463.1705,0.9819
1465.1721,0.9819
1467.1737,0.9819
1469.1753,0.9819
1471.1769,0.9819
1473.1785,0.9835
1475.1801,0.9881
1477.1817,0.9960
1479.1833,1.0069
1481.1849,1.0194
1483.1865,1.0342
1485.1882,1.0505
1487.1898,1.0685
1489.1914,1.0848
1491.1930,1.0979
1493.1946,1.1074
1495.1962,1.1148
1497.1978,1.1206
1499.1994,1.1230
1501.2010,1.1222
1503.2026,1.1192
1505.2042,1.1202
1507.2058,1.1259
1509.2074,1.1375
1511.2090,1.1522
1513.2106,1.1698
1515.2122,1.1870
1517.2138,1.2026
1519.2154,1.2186
1521.2170,1.2378
1523.2186,1.2598
1525.2202,1.2721
1527.2218,1.2734
1529.2234,1.2632
1531.2250,1.2514
1533.2266,1.2380
1535.2282,1.2194
1537.2298,1.1961
1539.2314,1.1680
1541.2330,1.1396
1543.2346,1.1112
1545.2362,1.0868
1547.2378,1.0671
1549.2394,1.0526
1551.2410,1.0405
1553.2426,1.0299
1555.2442,1.0204
1557.2458,1.0110
1559.2474,1.0015
1561.2490,0.9920
1563.2506,0.9826
1565.2522,0.9731
1567.2538,0.9636
1569.2554,0.9538
1571.2570,0.9408
1573.2586,0.9247
1575.2602,0.9067
1577.2618,0.8902
1579.2634,0.8755
1581.2650,0.8677
1583.2666,0.8663
1585.2682,0.8710
1587.2698,0.8757
1589.2714,0.8805
1591.2730,0.8837
1593.2746,0.8854
1595.2762,0.8855
1597.2778,0.8855
1599.2794,0.8855
1601.2810,0.8776
1603.2826,0.8602
1605.2842,0.8310
1607.2858,0.7925
1609.2874,0.7460
1611.2890,0.7139
1613.2906,0.7087
1615.2922,0.7385
1617.2938,0.8162
1619.2954,0.9348
1621.2970,1.1021
1623.2986,1.2936
1625.3002,1.5109
1627.3018,1.7521
1629.3034,2.0089
1631.3050,2.2408
1633.3066,2.4040
1635.3082,2.4991
1637.3098,2.5849
1639.3114,2.6914
1641.3131,2.8022
1643.3147,2.8785
1645.3163,2.9204
1647.3179,2.8218
1649.3195,2.5913
1651.3211,2.2460
1653.3227,1.9358
1655.3243,1.6706
1657.3259,1.4442
