Time_ms,I_mV
2429.9440,1.3916
2431.9456,1.3916
2433.9472,1.3916
2435.9488,1.3911
2437.9504,1.3890
2439.9520,1.3853
2441.9536,1.3806
2443.9552,1.3758
2445.9568,1.3715
2447.9584,1.3687
2449.9600,1.3675
2451.9616,1.3675
2453.9632,1.3675
2455.9648,1.3675
2457.9664,1.3675
2459.9680,1.3675
2461.9696,1.3675
2463.9712,1.3675
2465.9728,1.3675
2467.9744,1.3675
2469.9760,1.3675
2471.9776,1.3683
2473.9792,1.3706
2475.9808,1.3746
2477.9824,1.3793
2479.9840,1.3840
2481.9856,1.3881
2483.9872,1.3906
2485.9888,1.3916
2487.9904,1.3916
2489.9920,1.3916
2491.9936,1.3916
2493.9952,1.3916
2495.9968,1.3916
2497.9984,1.3916
2500.0000,1.3916
